Tanggal;Bulan;Tahun;Nama Obat;Jumlah Obat;Harga Satuan;Harga Total;Jumlah Pengunjung
1;4;2015;BRAINACT INJ  250 MG;24;49610;1190640;9
2;4;2015;BRAINACT INJ  250 MG;25;49610;1240250;10
3;4;2015;BRAINACT INJ  250 MG;24;49610;1190640;10
4;4;2015;BRAINACT INJ  250 MG;24;49610;1190640;11
5;4;2015;BRAINACT INJ  250 MG;24;49610;1190640;9
6;4;2015;BRAINACT INJ  250 MG;24;49610;1190640;10
7;4;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
8;4;2015;BRAINACT INJ  250 MG;23;49610;1141030;10
9;4;2015;BRAINACT INJ  250 MG;23;49610;1141030;10
10;4;2015;BRAINACT INJ  250 MG;24;49610;1190640;10
11;4;2015;BRAINACT INJ  250 MG;23;49610;1141030;11
12;4;2015;BRAINACT INJ  250 MG;22;49610;1091420;11
13;4;2015;BRAINACT INJ  250 MG;22;49610;1091420;12
14;4;2015;BRAINACT INJ  250 MG;22;49610;1091420;12
15;4;2015;BRAINACT INJ  250 MG;22;49610;1091420;12
16;4;2015;BRAINACT INJ  250 MG;21;49610;1041810;12
17;4;2015;BRAINACT INJ  250 MG;25;49610;1240250;12
18;4;2015;BRAINACT INJ  250 MG;24;49610;1190640;12
19;4;2015;BRAINACT INJ  250 MG;22;49610;1091420;11
20;4;2015;BRAINACT INJ  250 MG;27;49610;1339470;11
21;4;2015;BRAINACT INJ  250 MG;23;49610;1141030;12
22;4;2015;BRAINACT INJ  250 MG;23;49610;1141030;12
23;4;2015;BRAINACT INJ  250 MG;17;49610;843370;12
24;4;2015;BRAINACT INJ  250 MG;19;49610;942590;11
25;4;2015;BRAINACT INJ  250 MG;20;49610;992200;11
26;4;2015;BRAINACT INJ  250 MG;19;49610;942590;11
1;5;2015;BRAINACT INJ  250 MG;20;49610;992200;12
2;5;2015;BRAINACT INJ  250 MG;18;49610;892980;11
3;5;2015;BRAINACT INJ  250 MG;21;49610;1041810;13
4;5;2015;BRAINACT INJ  250 MG;18;49610;892980;12
5;5;2015;BRAINACT INJ  250 MG;26;49610;1289860;12
6;5;2015;BRAINACT INJ  250 MG;21;49610;1041810;9
7;5;2015;BRAINACT INJ  250 MG;6;49610;297660;2
8;5;2015;BRAINACT INJ  250 MG;8;49610;396880;3
9;5;2015;BRAINACT INJ  250 MG;13;49610;644930;4
10;5;2015;BRAINACT INJ  250 MG;20;49610;992200;10
11;5;2015;BRAINACT INJ  250 MG;23;49610;1141030;10
12;5;2015;BRAINACT INJ  250 MG;23;49610;1141030;10
13;5;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
14;5;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
15;5;2015;BRAINACT INJ  250 MG;23;49610;1141030;12
16;5;2015;BRAINACT INJ  250 MG;18;49610;892980;10
17;5;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
18;5;2015;BRAINACT INJ  250 MG;20;49610;992200;11
19;5;2015;BRAINACT INJ  250 MG;26;49610;1289860;10
20;5;2015;BRAINACT INJ  250 MG;22;49610;1091420;13
21;5;2015;BRAINACT INJ  250 MG;22;49610;1091420;11
23;5;2015;BRAINACT INJ  250 MG;23;49610;1141030;9
24;5;2015;BRAINACT INJ  250 MG;27;49610;1339470;11
25;5;2015;BRAINACT INJ  250 MG;25;49610;1240250;10
26;5;2015;BRAINACT INJ  250 MG;20;49610;992200;10
27;5;2015;BRAINACT INJ  250 MG;25;49610;1240250;10
28;5;2015;BRAINACT INJ  250 MG;24;49610;1190640;10
1;6;2015;BRAINACT INJ  250 MG;26;49610;1289860;11
2;6;2015;BRAINACT INJ  250 MG;26;49610;1289860;10
3;6;2015;BRAINACT INJ  250 MG;13;49610;644930;10
4;6;2015;BRAINACT INJ  250 MG;19;49610;942590;10
5;6;2015;BRAINACT INJ  250 MG;15;49610;744150;12
6;6;2015;BRAINACT INJ  250 MG;23;49610;1141030;11
7;6;2015;BRAINACT INJ  250 MG;17;49610;843370;9
8;6;2015;BRAINACT INJ  250 MG;22;49610;1091420;11
9;6;2015;BRAINACT INJ  250 MG;22;49610;1091420;11
10;6;2015;BRAINACT INJ  250 MG;23;49610;1141030;11
11;6;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
12;6;2015;BRAINACT INJ  250 MG;23;49610;1141030;11
13;6;2015;BRAINACT INJ  250 MG;22;49610;1091420;12
14;6;2015;BRAINACT INJ  250 MG;23;49610;1141030;11
15;6;2015;BRAINACT INJ  250 MG;17;49610;843370;6
16;6;2015;BRAINACT INJ  250 MG;21;49610;1041810;9
17;6;2015;BRAINACT INJ  250 MG;22;49610;1091420;7
18;6;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
19;6;2015;BRAINACT INJ  250 MG;22;49610;1091420;8
20;6;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
21;6;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
22;6;2015;BRAINACT INJ  250 MG;24;49610;1190640;10
23;6;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
24;6;2015;BRAINACT INJ  250 MG;23;49610;1141030;10
25;6;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
26;6;2015;BRAINACT INJ  250 MG;21;49610;1041810;10
27;6;2015;BRAINACT INJ  250 MG;18;49610;892980;8
2;7;2015;BRAINACT INJ  250 MG;24;49610;1190640;10
3;7;2015;BRAINACT INJ  250 MG;19;49610;942590;10
4;7;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
5;7;2015;BRAINACT INJ  250 MG;22;49610;1091420;11
6;7;2015;BRAINACT INJ  250 MG;21;49610;1041810;10
7;7;2015;BRAINACT INJ  250 MG;23;49610;1141030;10
8;7;2015;BRAINACT INJ  250 MG;23;49610;1141030;10
9;7;2015;BRAINACT INJ  250 MG;21;49610;1041810;9
10;7;2015;BRAINACT INJ  250 MG;23;49610;1141030;8
11;7;2015;BRAINACT INJ  250 MG;23;49610;1141030;9
12;7;2015;BRAINACT INJ  250 MG;23;49610;1141030;10
13;7;2015;BRAINACT INJ  250 MG;22;49610;1091420;11
14;7;2015;BRAINACT INJ  250 MG;24;49610;1190640;11
15;7;2015;BRAINACT INJ  250 MG;19;49610;942590;9
16;7;2015;BRAINACT INJ  250 MG;21;49610;1041810;10
17;7;2015;BRAINACT INJ  250 MG;21;49610;1041810;10
18;7;2015;BRAINACT INJ  250 MG;21;49610;1041810;10
19;7;2015;BRAINACT INJ  250 MG;23;49610;1141030;10
20;7;2015;BRAINACT INJ  250 MG;24;49610;1190640;11
21;7;2015;BRAINACT INJ  250 MG;6;49610;297660;10
22;7;2015;BRAINACT INJ  250 MG;10;49610;496100;10
23;7;2015;BRAINACT INJ  250 MG;12;49610;595320;10
25;7;2015;BRAINACT INJ  250 MG;8;49610;396880;10
26;7;2015;BRAINACT INJ  250 MG;9;49610;446490;10
27;7;2015;BRAINACT INJ  250 MG;15;49610;744150;11
28;7;2015;BRAINACT INJ  250 MG;17;49610;843370;9
1;8;2015;BRAINACT INJ  250 MG;10;49610;496100;10
2;8;2015;BRAINACT INJ  250 MG;16;49610;793760;11
3;8;2015;BRAINACT INJ  250 MG;11;49610;545710;3
4;8;2015;BRAINACT INJ  250 MG;14;49610;694540;5
5;8;2015;BRAINACT INJ  250 MG;15;49610;744150;6
6;8;2015;BRAINACT INJ  250 MG;15;49610;744150;4
7;8;2015;BRAINACT INJ  250 MG;15;49610;744150;5
8;8;2015;BRAINACT INJ  250 MG;15;49610;744150;7
10;8;2015;BRAINACT INJ  250 MG;15;49610;744150;8
11;8;2015;BRAINACT INJ  250 MG;15;49610;744150;6
12;8;2015;BRAINACT INJ  250 MG;12;49610;595320;5
13;8;2015;BRAINACT INJ  250 MG;14;49610;694540;6
14;8;2015;BRAINACT INJ  250 MG;14;49610;694540;5
15;8;2015;BRAINACT INJ  250 MG;15;49610;744150;7
16;8;2015;BRAINACT INJ  250 MG;15;49610;744150;6
17;8;2015;BRAINACT INJ  250 MG;15;49610;744150;7
18;8;2015;BRAINACT INJ  250 MG;14;49610;694540;7
19;8;2015;BRAINACT INJ  250 MG;16;49610;793760;7
20;8;2015;BRAINACT INJ  250 MG;15;49610;744150;7
21;8;2015;BRAINACT INJ  250 MG;15;49610;744150;7
22;8;2015;BRAINACT INJ  250 MG;14;49610;694540;7
23;8;2015;BRAINACT INJ  250 MG;14;49610;694540;7
24;8;2015;BRAINACT INJ  250 MG;12;49610;595320;6
25;8;2015;BRAINACT INJ  250 MG;13;49610;644930;7
26;8;2015;BRAINACT INJ  250 MG;14;49610;694540;7
27;8;2015;BRAINACT INJ  250 MG;16;49610;793760;7
1;9;2015;BRAINACT INJ  250 MG;15;49610;744150;8
2;9;2015;BRAINACT INJ  250 MG;14;49610;694540;7
3;9;2015;BRAINACT INJ  250 MG;15;49610;744150;7
4;9;2015;BRAINACT INJ  250 MG;16;49610;793760;7
5;9;2015;BRAINACT INJ  250 MG;14;49610;694540;7
6;9;2015;BRAINACT INJ  250 MG;15;49610;744150;6
7;9;2015;BRAINACT INJ  250 MG;16;49610;793760;6
8;9;2015;BRAINACT INJ  250 MG;15;49610;744150;7
9;9;2015;BRAINACT INJ  250 MG;15;49610;744150;7
11;9;2015;BRAINACT INJ  250 MG;16;49610;793760;8
12;9;2015;BRAINACT INJ  250 MG;13;49610;644930;6
13;9;2015;BRAINACT INJ  250 MG;14;49610;694540;7
14;9;2015;BRAINACT INJ  250 MG;14;49610;694540;7
15;9;2015;BRAINACT INJ  250 MG;14;49610;694540;7
16;9;2015;BRAINACT INJ  250 MG;15;49610;744150;7
17;9;2015;BRAINACT INJ  250 MG;16;49610;793760;7
18;9;2015;BRAINACT INJ  250 MG;14;49610;694540;7
23;9;2015;BRAINACT INJ  250 MG;16;49610;793760;8
24;9;2015;BRAINACT INJ  250 MG;16;49610;793760;6
25;9;2015;BRAINACT INJ  250 MG;16;49610;793760;7
27;9;2015;BRAINACT INJ  250 MG;18;49610;892980;7
28;9;2015;BRAINACT INJ  250 MG;19;49610;942590;7
1;10;2015;BRAINACT INJ  250 MG;18;49610;892980;7
2;10;2015;BRAINACT INJ  250 MG;18;49610;892980;7
3;10;2015;BRAINACT INJ  250 MG;17;49610;843370;7
4;10;2015;BRAINACT INJ  250 MG;17;49610;843370;7
5;10;2015;BRAINACT INJ  250 MG;17;49610;843370;7
6;10;2015;BRAINACT INJ  250 MG;18;49610;892980;7
7;10;2015;BRAINACT INJ  250 MG;18;49610;892980;8
8;10;2015;BRAINACT INJ  250 MG;17;49610;843370;8
9;10;2015;BRAINACT INJ  250 MG;17;49610;843370;8
10;10;2015;BRAINACT INJ  250 MG;17;49610;843370;9
11;10;2015;BRAINACT INJ  250 MG;17;49610;843370;8
12;10;2015;BRAINACT INJ  250 MG;16;49610;793760;8
14;10;2015;BRAINACT INJ  250 MG;19;49610;942590;8
15;10;2015;BRAINACT INJ  250 MG;18;49610;892980;8
16;10;2015;BRAINACT INJ  250 MG;17;49610;843370;8
17;10;2015;BRAINACT INJ  250 MG;20;49610;992200;8
18;10;2015;BRAINACT INJ  250 MG;18;49610;892980;8
19;10;2015;BRAINACT INJ  250 MG;17;49610;843370;8
20;10;2015;BRAINACT INJ  250 MG;14;49610;694540;8
21;10;2015;BRAINACT INJ  250 MG;15;49610;744150;8
22;10;2015;BRAINACT INJ  250 MG;16;49610;793760;8
23;10;2015;BRAINACT INJ  250 MG;15;49610;744150;8
24;10;2015;BRAINACT INJ  250 MG;15;49610;744150;8
26;10;2015;BRAINACT INJ  250 MG;15;49610;744150;7
27;10;2015;BRAINACT INJ  250 MG;18;49610;892980;9
28;10;2015;BRAINACT INJ  250 MG;15;49610;744150;8
1;11;2015;BRAINACT INJ  250 MG;20;49610;992200;8
2;11;2015;BRAINACT INJ  250 MG;16;49610;793760;7
3;11;2015;BRAINACT INJ  250 MG;14;49610;694540;7
4;11;2015;BRAINACT INJ  250 MG;16;49610;793760;7
5;11;2015;BRAINACT INJ  250 MG;15;49610;744150;7
6;11;2015;BRAINACT INJ  250 MG;15;49610;744150;7
7;11;2015;BRAINACT INJ  250 MG;15;49610;744150;7
8;11;2015;BRAINACT INJ  250 MG;15;49610;744150;8
9;11;2015;BRAINACT INJ  250 MG;12;49610;595320;7
10;11;2015;BRAINACT INJ  250 MG;15;49610;744150;7
11;11;2015;BRAINACT INJ  250 MG;13;49610;644930;8
13;11;2015;BRAINACT INJ  250 MG;17;49610;843370;7
14;11;2015;BRAINACT INJ  250 MG;15;49610;744150;9
15;11;2015;BRAINACT INJ  250 MG;15;49610;744150;7
16;11;2015;BRAINACT INJ  250 MG;15;49610;744150;7
17;11;2015;BRAINACT INJ  250 MG;18;49610;892980;7
18;11;2015;BRAINACT INJ  250 MG;17;49610;843370;7
19;11;2015;BRAINACT INJ  250 MG;14;49610;694540;7
20;11;2015;BRAINACT INJ  250 MG;17;49610;843370;7
21;11;2015;BRAINACT INJ  250 MG;16;49610;793760;7
22;11;2015;BRAINACT INJ  250 MG;16;49610;793760;6
23;11;2015;BRAINACT INJ  250 MG;15;49610;744150;7
24;11;2015;BRAINACT INJ  250 MG;16;49610;793760;6
25;11;2015;BRAINACT INJ  250 MG;18;49610;892980;8
26;11;2015;BRAINACT INJ  250 MG;17;49610;843370;7
27;11;2015;BRAINACT INJ  250 MG;9;49610;446490;7
1;12;2015;BRAINACT INJ  250 MG;11;49610;545710;7
2;12;2015;BRAINACT INJ  250 MG;14;49610;694540;8
3;12;2015;BRAINACT INJ  250 MG;15;49610;744150;8
4;12;2015;BRAINACT INJ  250 MG;15;49610;744150;8
6;12;2015;BRAINACT INJ  250 MG;15;49610;744150;7
7;12;2015;BRAINACT INJ  250 MG;15;49610;744150;8
8;12;2015;BRAINACT INJ  250 MG;15;49610;744150;8
9;12;2015;BRAINACT INJ  250 MG;15;49610;744150;8
10;12;2015;BRAINACT INJ  250 MG;12;49610;595320;5
11;12;2015;BRAINACT INJ  250 MG;29;49610;1438690;13
12;12;2015;BRAINACT INJ  250 MG;30;49610;1488300;12
13;12;2015;BRAINACT INJ  250 MG;29;49610;1438690;14
14;12;2015;BRAINACT INJ  250 MG;30;49610;1488300;12
15;12;2015;BRAINACT INJ  250 MG;31;49610;1537910;13
16;12;2015;BRAINACT INJ  250 MG;29;49610;1438690;14
17;12;2015;BRAINACT INJ  250 MG;31;49610;1537910;14
18;12;2015;BRAINACT INJ  250 MG;31;49610;1537910;15
19;12;2015;BRAINACT INJ  250 MG;28;49610;1389080;13
20;12;2015;BRAINACT INJ  250 MG;28;49610;1389080;14
21;12;2015;BRAINACT INJ  250 MG;28;49610;1389080;14
22;12;2015;BRAINACT INJ  250 MG;26;49610;1289860;13
23;12;2015;BRAINACT INJ  250 MG;28;49610;1389080;14
24;12;2015;BRAINACT INJ  250 MG;16;49610;793760;7
25;12;2015;BRAINACT INJ  250 MG;33;49610;1637130;14
26;12;2015;BRAINACT INJ  250 MG;32;49610;1587520;14
27;12;2015;BRAINACT INJ  250 MG;35;49610;1736350;14
28;12;2015;BRAINACT INJ  250 MG;28;49610;1389080;14
